2026-02-24T14:40:22 - Backup: C:\wamp64\www\BACKOFFICE\registrotratamiento.php -> C:\wamp64\www\BACKOFFICE\_backup_pre_reorg_20260224_144022\registrotratamiento.php
2026-02-24T14:40:22 - Movido: registrotratamiento.php -> sistemas/horno_termico/registrotratamiento.php
2026-02-24T14:40:22 - Backup: C:\wamp64\www\BACKOFFICE\tratamientotermico_reporte.php -> C:\wamp64\www\BACKOFFICE\_backup_pre_reorg_20260224_144022\tratamientotermico_reporte.php
2026-02-24T14:40:22 - Movido: tratamientotermico_reporte.php -> sistemas/horno_termico/tratamientotermico_reporte.php
2026-02-24T14:40:22 - Backup: C:\wamp64\www\BACKOFFICE\guardar_tratamiento.php -> C:\wamp64\www\BACKOFFICE\_backup_pre_reorg_20260224_144022\guardar_tratamiento.php
2026-02-24T14:40:22 - Movido: guardar_tratamiento.php -> sistemas/horno_termico/guardar_tratamiento.php
2026-02-24T14:40:22 - Backup: C:\wamp64\www\BACKOFFICE\README_SYNC_HORNO.md -> C:\wamp64\www\BACKOFFICE\_backup_pre_reorg_20260224_144022\README_SYNC_HORNO.md
2026-02-24T14:40:22 - Movido: README_SYNC_HORNO.md -> sistemas/horno_termico/README_SYNC_HORNO.md
2026-02-24T14:40:22 - Backup: C:\wamp64\www\BACKOFFICE\sync_horno_export.php -> C:\wamp64\www\BACKOFFICE\_backup_pre_reorg_20260224_144022\sync_horno_export.php
2026-02-24T14:40:22 - Movido: sync_horno_export.php -> sistemas/horno_termico/sync_horno_export.php
2026-02-24T14:40:22 - Backup: C:\wamp64\www\BACKOFFICE\sync_horno_origen.php -> C:\wamp64\www\BACKOFFICE\_backup_pre_reorg_20260224_144022\sync_horno_origen.php
2026-02-24T14:40:22 - Movido: sync_horno_origen.php -> sistemas/horno_termico/sync_horno_origen.php
2026-02-24T14:40:22 - Backup: C:\wamp64\www\BACKOFFICE\sync_horno_pull.php -> C:\wamp64\www\BACKOFFICE\_backup_pre_reorg_20260224_144022\sync_horno_pull.php
2026-02-24T14:40:22 - Movido: sync_horno_pull.php -> sistemas/horno_termico/sync_horno_pull.php
2026-02-24T14:40:23 - Backup: C:\wamp64\www\BACKOFFICE\sync_horno_receptor.php -> C:\wamp64\www\BACKOFFICE\_backup_pre_reorg_20260224_144022\sync_horno_receptor.php
2026-02-24T14:40:23 - Movido: sync_horno_receptor.php -> sistemas/horno_termico/sync_horno_receptor.php
2026-02-24T14:40:23 - Backup: C:\wamp64\www\BACKOFFICE\mantenimiento_accesos.php -> C:\wamp64\www\BACKOFFICE\_backup_pre_reorg_20260224_144022\mantenimiento_accesos.php
2026-02-24T14:40:23 - Movido: mantenimiento_accesos.php -> sistemas/mantenimiento_accesos/mantenimiento_accesos.php
2026-02-24T14:40:23 - Backup: C:\wamp64\www\BACKOFFICE\mantenimiento_accesos.js -> C:\wamp64\www\BACKOFFICE\_backup_pre_reorg_20260224_144022\mantenimiento_accesos.js
2026-02-24T14:40:23 - Movido: mantenimiento_accesos.js -> sistemas/mantenimiento_accesos/mantenimiento_accesos.js
2026-02-24T14:40:23 - Backup: C:\wamp64\www\BACKOFFICE\api_aprobar_v2.php -> C:\wamp64\www\BACKOFFICE\_backup_pre_reorg_20260224_144022\api_aprobar_v2.php
2026-02-24T14:40:23 - Movido: api_aprobar_v2.php -> sistemas/requerimientos/api/api_aprobar_v2.php
2026-02-24T14:40:23 - Backup: C:\wamp64\www\BACKOFFICE\api_buscar_almacenregistros.php -> C:\wamp64\www\BACKOFFICE\_backup_pre_reorg_20260224_144022\api_buscar_almacenregistros.php
2026-02-24T14:40:23 - Movido: api_buscar_almacenregistros.php -> sistemas/requerimientos/api/api_buscar_almacenregistros.php
2026-02-24T14:40:23 - Backup: C:\wamp64\www\BACKOFFICE\api_buscar_producto.php -> C:\wamp64\www\BACKOFFICE\_backup_pre_reorg_20260224_144022\api_buscar_producto.php
2026-02-24T14:40:23 - Movido: api_buscar_producto.php -> sistemas/requerimientos/api/api_buscar_producto.php
2026-02-24T14:40:23 - Backup: C:\wamp64\www\BACKOFFICE\api_entregar_v2.php -> C:\wamp64\www\BACKOFFICE\_backup_pre_reorg_20260224_144022\api_entregar_v2.php
2026-02-24T14:40:23 - Movido: api_entregar_v2.php -> sistemas/requerimientos/api/api_entregar_v2.php
2026-02-24T14:40:23 - Backup: C:\wamp64\www\BACKOFFICE\api_turno_cerrar.php -> C:\wamp64\www\BACKOFFICE\_backup_pre_reorg_20260224_144022\api_turno_cerrar.php
2026-02-24T14:40:23 - Movido: api_turno_cerrar.php -> sistemas/requerimientos/api/api_turno_cerrar.php
2026-02-24T14:40:23 - Backup: C:\wamp64\www\BACKOFFICE\api_turno_estado.php -> C:\wamp64\www\BACKOFFICE\_backup_pre_reorg_20260224_144022\api_turno_estado.php
2026-02-24T14:40:23 - Movido: api_turno_estado.php -> sistemas/requerimientos/api/api_turno_estado.php
2026-02-24T14:40:23 - Backup: C:\wamp64\www\BACKOFFICE\api_turno_historial.php -> C:\wamp64\www\BACKOFFICE\_backup_pre_reorg_20260224_144022\api_turno_historial.php
2026-02-24T14:40:23 - Movido: api_turno_historial.php -> sistemas/requerimientos/api/api_turno_historial.php
2026-02-24T14:40:23 - Backup: C:\wamp64\www\BACKOFFICE\api_get_user_features.php -> C:\wamp64\www\BACKOFFICE\_backup_pre_reorg_20260224_144022\api_get_user_features.php
2026-02-24T14:40:23 - Movido: api_get_user_features.php -> sistemas/mantenimiento_accesos/api/api_get_user_features.php
2026-02-24T14:40:23 - Backup: C:\wamp64\www\BACKOFFICE\api_set_user_feature.php -> C:\wamp64\www\BACKOFFICE\_backup_pre_reorg_20260224_144022\api_set_user_feature.php
2026-02-24T14:40:23 - Movido: api_set_user_feature.php -> sistemas/mantenimiento_accesos/api/api_set_user_feature.php
2026-02-24T14:40:23 - Backup: C:\wamp64\www\BACKOFFICE\api_preview_lote.php -> C:\wamp64\www\BACKOFFICE\_backup_pre_reorg_20260224_144022\api_preview_lote.php
2026-02-24T14:40:23 - Movido: api_preview_lote.php -> sistemas/horno_termico/api/api_preview_lote.php
2026-02-24T14:40:23 - Backup: C:\wamp64\www\BACKOFFICE\api_check_pallet.php -> C:\wamp64\www\BACKOFFICE\_backup_pre_reorg_20260224_144022\api_check_pallet.php
2026-02-24T14:40:23 - Movido: api_check_pallet.php -> sistemas/horno_termico/api/api_check_pallet.php
2026-02-24T14:40:23 - Backup: C:\wamp64\www\BACKOFFICE\conexion.php -> C:\wamp64\www\BACKOFFICE\_backup_pre_reorg_20260224_144022\conexion.php
2026-02-24T14:40:23 - Movido: conexion.php -> shared/conexion.php
2026-02-24T14:40:23 - Backup: C:\wamp64\www\BACKOFFICE\funciones_v2.php -> C:\wamp64\www\BACKOFFICE\_backup_pre_reorg_20260224_144022\funciones_v2.php
2026-02-24T14:40:23 - Movido: funciones_v2.php -> shared/funciones_v2.php
2026-02-24T14:40:23 - Backup: C:\wamp64\www\BACKOFFICE\funciones_turnos.php -> C:\wamp64\www\BACKOFFICE\_backup_pre_reorg_20260224_144022\funciones_turnos.php
2026-02-24T14:40:23 - Movido: funciones_turnos.php -> shared/funciones_turnos.php
2026-02-24T14:40:23 - Backup: C:\wamp64\www\BACKOFFICE\use_remote_db -> C:\wamp64\www\BACKOFFICE\_backup_pre_reorg_20260224_144022\use_remote_db
2026-02-24T14:40:23 - Movido: use_remote_db -> shared/use_remote_db
2026-02-24T14:40:23 - Backup: C:\wamp64\www\BACKOFFICE\sync_mysql_receptor.php -> C:\wamp64\www\BACKOFFICE\_backup_pre_reorg_20260224_144022\sync_mysql_receptor.php
2026-02-24T14:40:23 - Movido: sync_mysql_receptor.php -> shared/sync_mysql_receptor.php
2026-02-24T14:40:23 - Backup: C:\wamp64\www\BACKOFFICE\images -> C:\wamp64\www\BACKOFFICE\_backup_pre_reorg_20260224_144022\images
2026-02-24T14:40:23 - Movido: images -> shared/images
2026-02-24T14:40:24 - Backup: C:\wamp64\www\BACKOFFICE\exceljs -> C:\wamp64\www\BACKOFFICE\_backup_pre_reorg_20260224_144022\exceljs
2026-02-24T14:40:24 - Movido: exceljs -> shared/exceljs
2026-02-24T14:40:24 - Backup: C:\wamp64\www\BACKOFFICE\FileSaver -> C:\wamp64\www\BACKOFFICE\_backup_pre_reorg_20260224_144022\FileSaver
2026-02-24T14:40:24 - Movido: FileSaver -> shared/FileSaver
2026-02-24T14:40:24 - Backup: C:\wamp64\www\BACKOFFICE\exceljs.min.js -> C:\wamp64\www\BACKOFFICE\_backup_pre_reorg_20260224_144022\exceljs.min.js
2026-02-24T14:40:24 - Movido: exceljs.min.js -> shared/exceljs.min.js
2026-02-24T14:40:24 - Backup: C:\wamp64\www\BACKOFFICE\FileSaver.min.js -> C:\wamp64\www\BACKOFFICE\_backup_pre_reorg_20260224_144022\FileSaver.min.js
